Package Title,Version,Authors,Description,Declared License,Discovered License(s),Package Manager,Package Homepage,Dependency Path(s),Issue Resolution Notes
GoogleToolboxForMac/DebugUtils,2.3.2,,"A collection of source from different Google projects that may be of use
to developers working on iOS or OS X projects.",Apache-2.0,,CocoaPods,https://github.com/google/google-toolbox-for-mac,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/DebugUtils,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/DebugUtils,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/DebugUtils",
GoogleToolboxForMac/Defines,2.3.2,,"A collection of source from different Google projects that may be of use
to developers working on iOS or OS X projects.",Apache-2.0,,CocoaPods,https://github.com/google/google-toolbox-for-mac,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > GoogleToolboxForMac/NSData+zlib > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/NSData+zlib > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/NSData+zlib > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSData+zlib > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > GoogleToolboxForMac/Logger > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/Logger > GoogleToolboxForMac/Defines,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/DebugUtils > GoogleToolboxForMac/Defines",
GoogleToolboxForMac/Logger,2.3.2,,"A collection of source from different Google projects that may be of use
to developers working on iOS or OS X projects.",Apache-2.0,,CocoaPods,https://github.com/google/google-toolbox-for-mac,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > GoogleToolboxForMac/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/Logger",
GoogleToolboxForMac/NSData+zlib,2.3.2,,"A collection of source from different Google projects that may be of use
to developers working on iOS or OS X projects.",Apache-2.0,,CocoaPods,https://github.com/google/google-toolbox-for-mac,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > GoogleToolboxForMac/NSData+zlib,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/NSData+zlib,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/NSData+zlib,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSData+zlib",
GoogleToolboxForMac/NSDictionary+URLArguments,2.3.2,,"A collection of source from different Google projects that may be of use
to developers working on iOS or OS X projects.",Apache-2.0,,CocoaPods,https://github.com/google/google-toolbox-for-mac,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments",
GoogleToolboxForMac/NSString+URLArguments,2.3.2,,"A collection of source from different Google projects that may be of use
to developers working on iOS or OS X projects.",Apache-2.0,,CocoaPods,https://github.com/google/google-toolbox-for-mac,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/NSString+URLArguments,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/NSString+URLArguments,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleToolboxForMac/NSDictionary+URLArguments > GoogleToolboxForMac/NSString+URLArguments",
GoogleUtilitiesComponents,1.1.0,,"An internal Google utility that is a dependency injection system for libraries to depend on other
libraries in a type safe and potentially weak manner.
Not intended for direct public usage.",Apache-2.0,,CocoaPods,https://developers.google.com/,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilitiesComponents,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilitiesComponents,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilitiesComponents",
GoogleUtilities/Environment,7.13.3,,"Internal Google Utilities including Network, Reachability Environment, Logger and Swizzling for
other Google CocoaPods. They're not intended for direct public usage.",Apache-2.0; MIT,,CocoaPods,https://github.com/google/GoogleUtilities,"GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Environment,GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment",
GoogleUtilities/Logger,7.13.3,,"Internal Google Utilities including Network, Reachability Environment, Logger and Swizzling for
other Google CocoaPods. They're not intended for direct public usage.",Apache-2.0; MIT,,CocoaPods,https://github.com/google/GoogleUtilities,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger",
GoogleUtilities/Privacy,7.13.3,,"Internal Google Utilities including Network, Reachability Environment, Logger and Swizzling for
other Google CocoaPods. They're not intended for direct public usage.",Apache-2.0; MIT,,CocoaPods,https://github.com/google/GoogleUtilities,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Privacy,GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Privacy,GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Privacy,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment > GoogleUtilities/Privacy",
GoogleUtilities/UserDefaults,7.13.3,,"Internal Google Utilities including Network, Reachability Environment, Logger and Swizzling for
other Google CocoaPods. They're not intended for direct public usage.",Apache-2.0; MIT,,CocoaPods,https://github.com/google/GoogleUtilities,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilities/UserDefaults,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilities/UserDefaults,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilities/UserDefaults",
GTMSessionFetcher/Core,2.3.0,,"GTMSessionFetcher makes it easy for Cocoa applications
to perform http operations. The fetcher is implemented
as a wrapper on NSURLSession, so its behavior is asynchronous
and uses operating-system settings.",Apache-2.0,,CocoaPods,https://github.com/google/gtm-session-fetcher,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > GTMSessionFetcher/Core,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GTMSessionFetcher/Core,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GTMSessionFetcher/Core,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GTMSessionFetcher/Core",
MLImage,1.0.0-beta4,,"This is a cocoapod containing MLImage, a lightweight iOS image library for various on-device machine learning frameworks.",,Apache-2.0,CocoaPods,https://developers.google.com/ml-kit/guides,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLImage,
MLKitBarcodeScanning,3.0.0,,This is the barcode scanning feature on iOS. ML Kit is a mobile SDK that brings Google's machine learning expertise to mobile devices in a powerful yet easy-to-use package.,,Apache-2.0; BSD-1-Clause; BSD-2-Clause; bsd-2-clause-views; BSD-3-Clause; bsd-3-clause-open-mpi; BSD-4-Clause-UC; BSL-1.0; bzip2-1.0.6; CC-BY-2.5; CPOL-1.02; GPL-2.0-only; HPND; HPND-sell-variant; ICU; IJG; ISC; Libpng; libtiff; MIT; mit-veillard-variant; MPL-2.0; naist-2003; NCSA; open-group; OpenSSL; openssl-ssleay; proprietary-license; Protobuf; public-domain; Spencer-94; Unicode-DFS-2015; Unicode-DFS-2016; X11; x11-opengroup; xfree86-1.0; Zlib,CocoaPods,https://developers.google.com/ml-kit/guides,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning,
MLKitCommon,9.0.0,,"This is a top level pod containing common elements for all the ML Kit pods, including APIs for managing models.",,Apache-2.0; BSD-1-Clause; BSD-2-Clause; bsd-2-clause-views; BSD-3-Clause; bsd-3-clause-open-mpi; BSD-4-Clause-UC; BSL-1.0; bzip2-1.0.6; CC-BY-2.5; CPOL-1.02; GPL-2.0-only; HPND; HPND-sell-variant; ICU; IJG; ISC; Libpng; libtiff; MIT; mit-veillard-variant; MPL-2.0; naist-2003; NCSA; open-group; OpenSSL; openssl-ssleay; proprietary-license; Protobuf; public-domain; Spencer-94; Unicode-DFS-2015; Unicode-DFS-2016; X11; x11-opengroup; xfree86-1.0; Zlib,CocoaPods,https://developers.google.com/ml-kit/guides,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon",
MLKitVision,5.0.0,,This is the top level pod for ML Kit for vision based features on iOS. ML Kit is a mobile SDK that brings Google's machine learning expertise to mobile devices in a powerful yet easy-to-use package.,,Apache-2.0; BSD-1-Clause; BSD-2-Clause; bsd-2-clause-views; BSD-3-Clause; bsd-3-clause-open-mpi; BSD-4-Clause-UC; BSL-1.0; bzip2-1.0.6; CC-BY-2.5; CPOL-1.02; GPL-2.0-only; HPND; HPND-sell-variant; ICU; IJG; ISC; Libpng; libtiff; MIT; mit-veillard-variant; MPL-2.0; naist-2003; NCSA; open-group; OpenSSL; openssl-ssleay; proprietary-license; Protobuf; public-domain; Spencer-94; Unicode-DFS-2015; Unicode-DFS-2016; X11; x11-opengroup; xfree86-1.0; Zlib,CocoaPods,https://developers.google.com/ml-kit/guides,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision,
nanopb,2.30910.0,jpa@nanopb.mail.kapsi.fi,"Nanopb is a small code-size Protocol Buffers implementation
in ansi C. It is especially suitable for use in
microcontrollers, but fits any memory restricted system.",,Zlib,CocoaPods,https://github.com/nanopb/nanopb,"mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleDataTransport > nanopb,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleDataTransport > nanopb,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > nanopb",
nanopb/decode,2.30910.0,jpa@nanopb.mail.kapsi.fi,"Nanopb is a small code-size Protocol Buffers implementation
in ansi C. It is especially suitable for use in
microcontrollers, but fits any memory restricted system.",,Zlib,CocoaPods,https://github.com/nanopb/nanopb,"GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleDataTransport > nanopb > nanopb/decode,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleDataTransport > nanopb > nanopb/decode,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > nanopb > nanopb/decode",
nanopb/encode,2.30910.0,jpa@nanopb.mail.kapsi.fi,"Nanopb is a small code-size Protocol Buffers implementation
in ansi C. It is especially suitable for use in
microcontrollers, but fits any memory restricted system.",,Zlib,CocoaPods,https://github.com/nanopb/nanopb,"GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleDataTransport > nanopb > nanopb/encode,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleDataTransport > nanopb > nanopb/encode,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > nanopb > nanopb/encode",
